system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7137,1400,1406,7416,7748,8128,8041,7953,7759,7700,7410,6834,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.81908509115848,-33.40794117452715]}"
1,7969,1630,1632,8712,8904,9056,9294,9142,8922,8624,8638,8055,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.82267835229496,-33.411354772606806]}"
2,5903,1217,1242,6324,6680,6968,6813,6794,6306,6296,5990,5534,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.82483430897685,-33.41351072928869]}"
3,7562,1428,1425,7800,7904,8232,8422,8237,8074,7828,7732,7115,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.81459351473788,-33.40623437548732]}"
4,7216,1372,1371,7444,7816,7972,7936,7759,7529,7356,7097,6845,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.8177376182323,-33.408480163697625]}"
5,7674,1660,1646,9064,9168,9488,9390,9288,8982,9168,8713,7433,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.82249868923813,-33.41144460413522]}"
6,8573,1767,1769,9664,9704,10032,9950,9828,9628,9688,9342,8358,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.82025290102783,-33.4127920770614]}"
7,8026,1480,1460,7600,7904,8072,8371,8176,8052,7660,7508,7849,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.82097155325513,-33.409917468152216]}"
8,7122,1440,1458,8036,8296,8368,7498,7318,7057,7844,6879,7587,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.82303767840861,-33.41099544649315]}"
9,7541,1403,1415,7624,7876,8096,8191,8172,7804,7684,7499,7047,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.81441385168105,-33.407222522299854]}"
10,7689,1447,1453,7832,8060,8392,8584,8374,8172,7904,7834,7179,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.81495284085153,-33.40560555478844]}"
11,8155,1698,1686,8744,8920,9216,9548,9457,9206,8736,8897,7724,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.82025290102783,-33.411534435663626]}"
12,7433,1450,1445,8480,8672,8832,8601,8403,8205,8392,7799,7121,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.81504267237995,-33.40668353312938]}"
13,7647,1485,1490,7864,8280,8344,8526,8333,8125,8164,7832,7167,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.82312750993701,-33.415127696800106]}"
14,8062,1506,1509,8304,8728,8840,8949,8724,8683,8432,8140,7646,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.82016306949942,-33.41674466431152]}"
15,5981,1261,1263,6600,6912,7144,7085,7002,6644,6556,6223,5624,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.82627161343143,-33.41620567514105]}"
16,8042,1489,1492,8056,8184,8544,8727,8517,8437,8100,7952,7611,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.81585115613565,-33.417283653481995]}"
17,8600,1784,1770,9672,9736,9984,9762,9670,9505,9688,9207,8212,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.82043256408465,-33.41234291941934]}"
18,6706,1495,1483,7640,7876,8008,8144,7943,7740,7640,7456,6462,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.82321734146542,-33.409917468152216]}"
19,8144,1562,1562,8312,8592,8776,9087,9077,8708,8520,8419,7800,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.81791728128913,-33.418720957936586]}"
20,7445,1478,1497,7916,8140,8480,8551,8407,8120,8060,7791,7188,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.81647997683453,-33.40785134299874]}"
21,7653,1286,1284,6484,6804,7092,7046,7016,6621,6504,6289,7069,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.82770891788603,-33.41800230570929]}"
22,7845,1635,1636,9728,9888,9944,9399,8761,9124,9184,8222,7515,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.82321734146542,-33.418900620993405]}"
23,7244,1419,1428,7828,8056,8320,8434,8225,8021,7732,7542,6892,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.81818677587435,-33.412971740118216]}"
24,8096,1520,1555,7188,7192,7808,8525,8177,8013,7192,7780,7635,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.82142071089719,-33.416295506669464]}"
