system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8516,1525,1549,9152,9304,9672,9591,9511,9212,9096,8826,7975,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.83417678793168,-33.52588997133204]}"
1,7942,1440,1479,8520,8576,8768,8693,8618,8354,8280,7944,7433,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.83588358697152,-33.527866264957105]}"
2,8304,1490,1500,8416,8568,8776,9146,9041,8759,8408,8362,7686,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.83453611404533,-33.52651879203093]}"
3,8849,1574,1584,9456,9712,9928,9984,9804,9617,9576,9192,8559,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.80489170966939,-33.412971740118216]}"
4,8822,1525,1526,9376,9616,9872,9871,9667,9421,9416,9017,8447,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.81001210678888,-33.41530735985693]}"
5,9076,1611,1613,9704,9856,10064,10108,9864,9781,9752,9346,8691,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.80246625840226,-33.4143192130444]}"
6,9001,1597,1614,9456,9688,9952,9940,9881,9638,9592,9324,8657,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.80165777464656,-33.41261241400457]}"
7,8945,1513,1525,9280,9520,9728,9783,9654,9373,9224,9005,8493,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.81064092748775,-33.41521752832852]}"
8,8868,1526,1532,9728,9880,10168,10012,9858,9537,9568,9138,8521,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.81046126443093,-33.41467853915805]}"
9,8932,1557,1565,9208,9488,9792,9975,9816,9614,9416,9198,8594,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.8117189058287,-33.41611584361264]}"
10,9121,1550,1573,9632,9768,9936,9983,9871,9604,9520,9248,8634,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.80453238355574,-33.41620567514105]}"
11,9107,1600,1610,9288,9528,9824,9845,9823,9522,9576,9152,8685,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.80210693228862,-33.416026012084224]}"
12,8732,1543,1554,9176,9376,9704,9681,9607,9322,9296,8908,8480,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.80704766635128,-33.41333106623187]}"
13,8855,1537,1549,9280,9512,9688,9881,9777,9467,9304,9058,8474,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.8102816013741,-33.41647516972628]}"
14,8304,1471,1482,8344,8496,8760,8853,8725,8541,8328,8110,7686,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.8349852716874,-33.52624929744569]}"
15,8832,1549,1546,9304,9488,9760,9792,9617,9372,9264,8965,8480,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.8101917698457,-33.416026012084224]}"
16,8611,1549,1575,9160,9296,9472,9815,9722,9355,9160,8949,8107,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.83381746181804,-33.52606963438887]}"
17,8313,1448,1475,8496,8768,8968,9064,8869,8630,8176,8064,7585,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.83399712487487,-33.5270577812014]}"
18,8875,1546,1557,9248,9536,9720,9849,9755,9491,9336,9160,8560,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.810910422073,-33.416026012084224]}"
19,8809,1522,1529,9376,9624,9840,9783,9622,9325,9432,8950,8385,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.81010193831729,-33.41647516972628]}"
20,8350,1534,1525,9168,9336,9624,9663,9542,9215,9144,8764,7843,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.83372763028963,-33.52660862355934]}"
21,8848,1528,1540,9544,9904,10056,9939,9754,9508,9488,9059,8492,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.81082059054458,-33.41378022387393]}"
22,7839,1410,1441,8016,8044,8216,8199,7958,7674,7644,7414,6829,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.83525476627263,-33.52687811814457]}"
23,9112,1553,1559,9560,9768,9976,10047,9890,9638,9568,9255,8669,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.80525103578304,-33.41593618055581]}"
24,8590,1521,1542,9168,9400,9640,9705,9653,9420,9288,9088,8428,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.80767648705016,-33.41306157164663]}"
