system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,9680,1618,1671,10248,10488,10520,10806,10359,9866,9784,9455,9554,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.65523238333508,-55.194512265692666]}"
1,9401,1611,1693,9624,9808,9856,10197,9823,9373,9344,9057,9191,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.64687805119277,-55.18840372176066]}"
2,9460,1610,1675,9552,9712,9736,10039,9706,9330,9200,8973,9280,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.64957299704513,-55.193524118880134]}"
3,9463,1631,1712,9712,9800,9904,10245,9873,9443,9400,9130,9298,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.64427293686882,-55.19199698289714]}"
4,9667,1598,1681,9912,10016,10064,10417,10093,9589,9504,9289,9464,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.65047131232924,-55.19091900455619]}"
5,9518,1643,1737,9640,9800,9944,10279,9888,9437,9416,9186,9378,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.642566137829,-55.19298512970967]}"
6,9501,1633,1700,9728,9832,9968,10148,9831,9420,9400,9110,9319,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.64373394769835,-55.192086814425544]}"
7,9453,1648,1724,9640,9864,10024,10286,9884,9528,9512,9166,9391,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.64436276839723,-55.19487159180632]}"
8,9532,1628,1684,9784,9928,10080,10367,10005,9586,9504,9241,9386,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.64813569259053,-55.192625803596016]}"
9,9519,1628,1700,9752,9880,9976,10270,9928,9559,9440,9249,9348,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.64597973590865,-55.19316479276649]}"
10,9554,1628,1712,9696,9792,9920,10258,9872,9526,9400,9187,9335,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.64436276839723,-55.19064950997095]}"
11,9521,1594,1666,9784,9872,10016,10299,9868,9469,9400,9106,9275,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.65208827984065,-55.19064950997095]}"
12,9680,1608,1667,9752,9976,10016,10365,10031,9501,9368,9185,9554,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.65505272027825,-55.19406310805061]}"
13,9664,1646,1720,9856,9992,10056,10393,10022,9583,9576,9289,9441,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.64274580088582,-55.19082917302778]}"
14,9715,1603,1654,9760,9912,10024,10388,9961,9485,9440,9168,9525,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.65145945914178,-55.19460209722108]}"
15,9430,1604,1688,9592,9720,9816,10103,9767,9337,9304,9086,9244,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.6464288935507,-55.19038001538572]}"
16,9617,1658,1753,9832,10072,10152,10475,10102,9654,9664,9394,9602,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.64157799101646,-55.19469192874949]}"
17,9410,1612,1684,9624,9760,9888,10189,9847,9390,9296,9112,9192,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.647147545778,-55.19370378193696]}"
18,9456,1599,1655,9776,9968,10040,10454,10080,9555,9504,9206,9307,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.65298659512477,-55.194512265692666]}"
19,9600,1620,1704,9768,9840,9904,10236,9932,9511,9392,9198,9394,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.64391361075518,-55.189751194686835]}"
20,9496,1639,1732,9712,9800,9968,10247,9939,9504,9440,9187,9365,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.6411288333744,-55.192625803596016]}"
21,9429,1627,1700,9712,9856,10008,10273,9839,9445,9480,9115,9351,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.64508142062452,-55.19469192874949]}"
22,9512,1618,1689,9672,9816,9952,10165,9894,9459,9304,9131,9307,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.6441831053404,-55.18912237398795]}"
23,9684,1613,1689,9928,10120,10280,10544,10155,9683,9640,9320,9417,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.64993232315878,-55.19029018385731]}"
24,9566,1671,1754,9744,9920,10040,10401,10026,9604,9592,9333,9494,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.64166782254487,-55.19406310805061]}"
25,8329,1158,1162,6324,6340,6656,7713,7267,6551,5244,6108,6303,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.79554923071454,-55.160196621839304]}"
26,8296,1189,1194,8012,8040,8128,8136,7591,6924,6644,6447,6465,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.79842383962372,-55.16190342087913]}"
27,8272,1169,1192,7636,7676,8280,7843,7344,6608,6228,6025,6176,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.79366276861789,-55.16010679031089]}"
28,7603,1144,1153,6264,6156,6240,6952,6582,5778,4900,5086,5619,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.786925403987,-55.16028645336772]}"
29,8191,1117,1118,7572,7112,7148,7002,6271,5559,4948,4978,5137,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.81117991665823,-55.178612085163756]}"
30,8895,1116,1110,6692,5628,5744,7321,6236,5854,4464,5371,5491,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.82330717299384,-55.17915107433422]}"
31,8191,1117,1118,7572,7112,7148,7002,6271,5559,4948,4978,5137,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.81109008512982,-55.178612085163756]}"
32,7629,1151,1149,7932,7836,7884,6969,6212,5933,6020,5579,5590,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.78656607787335,-55.15956780114042]}"
33,6473,1140,1135,5532,5628,5772,6143,5839,5444,5396,5200,5406,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.78144568075388,-55.163520388390545]}"
34,8067,1144,1148,6724,6680,6724,7383,6884,6074,5476,5756,6100,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.79123731735078,-55.164957692845135]}"
35,8291,1136,1119,7456,6968,7284,7878,7253,6342,5340,5802,5651,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.80857480233428,-55.1736713511011]}"
36,8296,1118,1120,7076,6380,6500,6800,6239,5718,4752,5275,5695,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.79662720905549,-55.17537815014092]}"
37,8272,1172,1168,7564,7540,7668,7920,7477,6586,5964,6032,6238,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.79042883359507,-55.159298306555186]}"
38,8672,1140,1142,9840,9144,9224,8113,7450,6573,6280,5901,5735,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.80111878547609,-55.1684611224532]}"
39,6707,1126,1143,6044,6136,6224,6393,6058,5585,5524,5145,5542,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.78198466992434,-55.16370005144737]}"
40,7519,1140,1147,5964,6240,6260,7348,6614,5668,4184,5265,5185,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.78791355079953,-55.161184768651836]}"
41,8812,1152,1147,8576,8232,8304,8054,7388,6865,5864,6073,6061,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.80147811158973,-55.16926960620891]}"
42,8032,1105,1128,8128,8344,8392,6318,5872,5225,6440,4919,5984,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.7883627084416,-55.16361021991896]}"
