system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8423,913,872,10272,10568,10912,10879,10488,10056,10472,9637,9378,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.17016042703794,-46.147040050154494]}"
1,8341,635,633,8728,8952,9080,9373,9146,8929,8976,8601,8500,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.17411301428807,-46.14066201163725]}"
2,8645,853,868,9200,9416,9664,9838,9622,9419,9591,9183,9367,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.16198575795245,-46.153777414785395]}"
3,8429,896,848,9352,9640,9952,10270,9798,9441,9511,8990,9061,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.07853226805776,-46.20462205986656]}"
4,9103,934,932,10016,10224,10568,10718,10415,10064,10248,9680,9595,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.08176620308058,-46.201657619428964]}"
5,8111,769,752,8600,8880,9104,9465,9119,8770,8824,8415,8352,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.08149670849535,-46.206418690434795]}"
6,8631,685,704,9056,9376,9528,9952,9639,9377,9369,9001,9041,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.17312486747554,-46.14057218010883]}"
7,8535,966,906,9088,9440,9712,9884,9493,9119,9264,8646,9032,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.17986223210643,-46.146411229455616]}"
8,9264,885,845,9792,10104,10344,10836,10351,10009,9950,9515,9928,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.07925092028505,-46.20372374458244]}"
9,8750,1163,1134,9416,9768,10056,10289,10138,9769,9936,9483,9505,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.17411301428807,-46.14793836543861]}"
10,7365,727,711,6744,6880,6976,7560,7168,7225,6840,6988,7152,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.16917228022541,-46.14677055556926]}"
11,8223,899,859,9288,9648,9936,10217,9819,9428,9479,8981,8847,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.07835260500093,-46.204801722923385]}"
12,8213,995,988,8920,9128,9264,9646,9394,9257,9239,8855,8745,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.08077805626804,-46.20031014650279]}"
13,8749,885,851,9304,9688,9992,10344,9931,9614,9656,9220,9445,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.17222655219142,-46.14533325111467]}"
14,8411,592,542,9128,9480,9656,9797,9334,8913,9088,8413,8512,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.083383170592,-46.20390340763926]}"
15,8259,1112,1092,8632,8904,9176,9497,9245,8951,9136,8744,8923,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.17788593848137,-46.14784853391021]}"
16,8749,895,882,9080,9432,9784,10302,10045,9572,9568,9105,9445,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.17258587830507,-46.14506375652943]}"
17,8229,863,853,7352,7484,7656,7788,7825,7599,7640,7436,8689,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.16962143786748,-46.14362645207484]}"
18,8870,933,865,9480,9872,10048,10250,9809,9468,9520,8889,9199,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.17977240057802,-46.14488409347261]}"
19,8408,878,878,9504,9736,10032,10164,9709,9379,9568,8934,8883,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.07880176264298,-46.20552037515068]}"
20,8378,942,906,9304,9624,9872,9917,9490,9212,9376,8739,8852,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.18013172669167,-46.14569257722832]}"
21,8619,918,916,8904,9160,9384,9542,9323,9112,9303,8833,9330,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.17087907926523,-46.14335695748961]}"
22,8590,856,872,9104,9392,9600,9810,9623,9375,9528,9104,9324,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.16180609489562,-46.15413674089904]}"
23,8394,879,842,8936,9256,9512,9702,9389,9075,9264,8627,8994,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.17842492765185,-46.14551291417149]}"
24,7918,805,780,8144,8424,8672,8869,8693,8400,8553,8099,8528,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.1788740852939,-46.142009484563424]}"
