system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,9215,929,937,9704,9792,10072,10410,10050,9628,9456,9157,9151,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.11437047361227,-40.57676663638617]}"
1,9846,990,971,10184,10392,10616,10991,10630,10170,10000,9697,9644,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.11320266374291,-40.57613781568728]}"
2,8278,828,842,8528,8464,8504,8280,6877,7546,7816,7027,7942,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.11401114749862,-40.57748528861346]}"
3,8834,923,955,9352,9608,9968,10085,9729,9387,9400,8992,8787,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.11589760959527,-40.57658697332934]}"
4,8278,858,835,8592,9048,9064,8555,8701,7896,8472,7555,7942,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.11437047361227,-40.57730562555664]}"
5,9873,956,968,10336,10448,10752,10890,10544,10165,10296,9691,9813,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.11508912583956,-40.575778489573636]}"
6,8291,977,963,9360,9456,9712,9700,9486,9220,9096,8784,8638,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.1153586204248,-40.577125962499814]}"
7,9846,990,971,10336,10432,10720,10991,10630,10170,10056,9697,9644,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.1131128322145,-40.57613781568728]}"
8,9891,1045,1034,10296,10368,10704,10845,10530,10210,10168,9805,9858,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.11553828348163,-40.575778489573636]}"
9,9104,947,930,9568,9792,10072,10211,9881,9499,9504,9079,9032,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.11517895736797,-40.57649714180093]}"
10,8249,870,872,9096,9488,9744,9612,9330,8883,9040,8426,8105,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.1145501366691,-40.577125962499814]}"
11,8957,780,770,9640,9896,10144,9326,9506,8720,9440,8216,8774,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.11356198985656,-40.57730562555664]}"
12,9387,902,871,9888,9896,10168,10410,10091,9752,9672,9339,9184,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.1139213159702,-40.575239500403164]}"
13,9705,908,911,10096,10352,10584,10768,10398,9940,9904,9458,9402,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.11284333762926,-40.57649714180093]}"
14,8291,921,915,8164,7904,8076,8700,8159,7722,7616,7468,8638,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.11526878889639,-40.57730562555664]}"
15,9846,1086,1054,9896,9960,10216,10512,10191,9777,9680,9398,9644,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.11365182138498,-40.57631747874411]}"
16,8249,925,909,8744,8744,8968,9512,9478,8970,8376,8526,8105,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.11472979972592,-40.577125962499814]}"
17,8957,780,770,9696,9520,9688,9326,9506,8720,8976,8216,8774,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.11365182138498,-40.57730562555664]}"
18,9980,965,964,10368,10520,10784,10957,10594,10103,10088,9661,9736,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.11266367457245,-40.57586832110205]}"
