system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7213,1401,1425,7100,7456,7844,7529,7387,7131,7436,6874,6837,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.99677185435732,-32.532532930152676]}"
1,8130,1458,1502,8036,8224,8528,8516,8488,8208,8056,7929,7321,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.98590223941947,-32.53316175085156]}"
2,7204,1633,1702,9272,9216,9304,9110,8957,8695,8752,8361,6748,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.99308876169243,-32.53172444639697]}"
3,8429,1421,1463,8544,9016,9224,9227,9057,8732,8512,8235,7572,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.99263960405037,-32.53289225626632]}"
4,8477,1519,1570,8704,8808,8920,9160,8906,8450,8040,7971,7408,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.99039381584006,-32.53190410945379]}"
5,7456,1510,1554,7928,8168,8296,8317,8175,8086,8060,7853,6990,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.99461589767543,-32.533251582379975]}"
6,7968,1451,1479,8936,9088,9184,8914,8680,8404,8544,8003,7210,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.98778870151612,-32.533431245436795]}"
7,8647,1355,1396,8816,9160,9392,9261,8909,8346,8100,7826,7681,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.98599207094789,-32.53244309862426]}"
8,8791,1434,1469,8456,8848,9096,9140,8935,8553,8320,8075,7799,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.99228027793673,-32.53289225626632]}"
9,6576,1454,1504,7524,7620,7688,7919,7752,7630,7528,7280,6419,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.99632269671525,-32.532982087794736]}"
10,6261,1327,1362,6356,6712,7032,6917,6812,6677,6644,6391,5904,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.99776000116985,-32.53316175085156]}"
11,8800,1528,1592,9632,9856,9944,10024,9833,9429,9024,8881,7864,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.99030398431167,-32.53244309862426]}"
12,6853,1433,1454,7856,8208,8456,8690,8515,8161,7764,7624,6797,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.99497522378908,-32.53262276168109]}"
13,7216,1413,1468,8392,8616,8896,9049,8828,8505,8216,8049,6973,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.99533454990272,-32.53262276168109]}"
14,8647,1527,1612,9664,9744,9880,9839,9622,9440,9288,8932,7681,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.98581240789106,-32.53280242473791]}"
15,6853,1573,1614,8020,8480,8760,8772,8588,8298,8100,7784,6797,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.99452606614702,-32.53244309862426]}"
16,6853,1351,1379,7336,7752,8168,7987,7863,7517,7284,7164,6797,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.99452606614702,-32.5327125932095]}"
17,8785,1421,1477,8720,9008,9248,9112,8920,8544,8464,8037,7726,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.99147179418101,-32.53334141390838]}"
18,5656,1175,1170,5900,6196,6316,6272,6125,5837,5784,5523,5113,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.98617173400471,-32.53423972919251]}"
19,7127,1501,1539,7876,7964,8116,8264,8092,7984,7932,7730,6769,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.9958735390732,-32.533251582379975]}"
20,8060,1425,1471,8208,8672,8928,9114,8827,8518,8104,8013,7370,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.9890463429139,-32.53190410945379]}"
21,7424,1567,1614,8640,8928,9240,9495,9143,8893,8440,8385,7254,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.99641252824367,-32.53208377251062]}"
22,6576,1454,1504,7244,7476,7620,7919,7752,7630,7440,7280,6419,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.99650235977208,-32.532982087794736]}"
23,7629,1426,1465,8304,8600,8928,8966,8729,8408,8148,7895,7125,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.99569387601638,-32.53262276168109]}"
24,7373,1473,1522,7332,7768,8008,8163,7977,7710,7336,7373,6859,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.98913617444231,-32.53163461486856]}"
