system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,5683,1131,1119,6436,6788,7020,7154,6769,6382,6172,5829,5845,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.93171161802125,-45.91911949626769]}"
1,5702,1131,1122,6228,6552,6812,7069,6774,6332,6061,5827,5892,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.93327468661562,-45.91935305824156]}"
2,5783,1134,1122,6628,7012,7224,7240,6853,6471,6412,5916,5944,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.93133432560192,-45.92052086811091]}"
3,5764,1128,1103,6304,6668,6912,7047,6693,6340,6124,5799,5862,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.93040007770644,-45.91938899085292]}"
4,5659,1133,1117,6000,6360,6656,7036,6678,6258,5932,5737,5833,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.93393943992587,-45.91983814849498]}"
5,5683,1136,1120,6224,6604,6836,7074,6726,6347,6090,5862,5873,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.93099296579395,-45.91854457448585]}"
6,5552,1136,1124,6324,6700,6932,6937,6613,6253,6155,5811,5808,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.93210687674626,-45.91865237231995]}"
7,5842,1141,1119,6512,6908,7144,7300,6926,6496,6356,6037,6034,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.92966345917345,-45.92118562142116]}"
8,5738,1130,1123,6228,6568,6856,7093,6757,6370,6123,5838,5894,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.93172958432693,-45.91953272129838]}"
9,5779,1127,1129,6384,6760,6988,7120,6768,6371,6208,5812,5924,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.93068753859735,-45.91996391263476]}"
10,5842,1141,1119,6512,6908,7144,7300,6926,6496,6356,6037,6034,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.92973532439619,-45.92118562142116]}"
11,5683,1138,1126,6236,6620,6876,7047,6722,6307,6108,5824,5873,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.9311546625451,-45.91832897881766]}"
12,5638,1136,1123,6152,6508,6772,7034,6670,6300,6024,5788,5851,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.93199907891217,-45.91863440601426]}"
13,5807,1126,1111,6340,6712,6884,7195,6871,6420,6176,5894,5945,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.92968142547915,-45.9207364637791]}"
14,5615,1134,1123,6428,6804,6980,7042,6760,6288,6176,5828,5806,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.93368791164632,-45.92034120505409]}"
15,5921,1140,1122,6684,6956,7276,7348,7026,6556,6424,6074,6105,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.9294119308939,-45.921742576897316]}"
16,5702,1128,1115,6456,6820,7040,7103,6777,6386,6241,5825,5892,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.93304112464175,-45.91980221588362]}"
17,5780,1133,1127,6244,6604,6904,7067,6749,6369,6095,5822,5901,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.93041804401211,-45.920071710468854]}"
18,5628,1135,1124,6104,6436,6820,6978,6671,6283,6071,5828,5858,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.93260993330537,-45.91885000168245]}"
19,5826,1141,1128,6492,6800,7224,7276,6949,6524,6349,5977,6039,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.93050787554053,-45.921329351866625]}"
20,5628,1139,1129,6392,6772,6988,7028,6736,6302,6167,5866,5858,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.93214280935763,-45.919209327796096]}"
21,5693,1134,1122,6376,6732,6980,7036,6730,6354,6247,5808,5904,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.93331061922699,-45.92032323874841]}"
22,5693,1130,1115,6280,6664,6976,7218,6863,6411,6168,5892,5904,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.93314892247584,-45.92019747460863]}"
23,5762,1124,1119,6332,6712,6904,7104,6786,6310,6226,5842,5866,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.93048990923485,-45.91933509193588]}"
24,5723,1132,1112,6116,6480,6664,7050,6731,6307,6028,5818,5839,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.93083126904281,-45.91876017015404]}"
