system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,6767,631,639,7304,7408,7416,7395,7118,6833,6608,6369,5518,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.96083924299255,-33.061676565110446]}"
1,6676,570,592,6740,6964,7012,7027,6850,6570,6540,6159,5622,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.96073144515846,-33.061029778105876]}"
2,4678,1021,1095,9240,9496,9584,9308,9105,8764,9120,8505,5252,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.95870125261634,-33.04875879132481]}"
5,4584,624,632,6444,6488,6756,6586,6391,6227,6452,6076,4590,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.96110873757779,-33.05436427869771]}"
6,5572,602,618,5708,5768,6092,6089,5912,5986,5716,5677,5344,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.96161179413689,-33.05289104163175]}"
7,4884,892,907,6564,6380,6556,7388,7505,7079,6320,6892,5283,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.95561104803897,-33.0497828707487]}"
8,4796,579,571,5376,5700,5904,5660,5588,5357,5492,5283,4557,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.9619172213335,-33.05245985029538]}"
10,5419,928,916,5704,5864,5876,5817,5736,5354,5620,5206,4838,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.95742564491289,-33.0496750729146]}"
11,6549,541,532,6440,6572,6592,6784,6480,5999,5668,5651,5144,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.96346232362218,-33.060921980271786]}"
13,5025,644,660,5884,6068,6216,6365,6183,5948,5928,5707,4784,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.96279757031192,-33.05026796100213]}"
15,4523,527,552,5416,5640,5736,5824,5686,5414,5428,5272,4159,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.96304909859148,-33.0593768779831]}"
17,4147,826,826,6076,6164,6388,6295,6116,6088,6332,5875,4224,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.96083924299255,-33.05125610781466]}"
18,3703,644,658,6044,6164,6312,6151,5949,5866,6084,5636,4105,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.96103687235505,-33.05811923658533]}"
19,5616,530,525,6728,6768,6816,6626,6386,5999,5960,5653,4931,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.96171959197099,-33.06052672154677]}"
20,4560,725,723,7320,7076,7364,6891,7094,6188,6416,6243,3915,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.96035415273913,-33.060239260655855]}"
21,5469,673,669,6300,6464,6500,6518,6332,6252,6344,6020,4935,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.9623124800585,-33.05817313550238]}"
22,4676,727,737,6048,6372,6528,6266,6151,6052,6304,5872,4906,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.9615039963028,-33.05062728711577]}"
