system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8735,709,653,9048,9352,9544,9670,9405,9092,8704,8671,7492,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.4900322025855,-33.0716119321528]}"
1,4435,649,634,8208,8536,8640,8110,7944,7511,7868,7223,4577,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.534408977621,-33.06074231721495]}"
2,8344,548,512,8768,8920,8952,8776,8399,8102,8048,7677,6689,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.48976270800026,-33.07260007896533]}"
3,6749,552,537,8104,8328,8368,8477,8077,7619,7476,7193,5917,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.53135470565499,-33.059394844288775]}"
4,6857,569,556,8096,8424,8464,8329,8023,7484,7352,6875,5553,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.53683442888813,-33.060113496516074]}"
5,8323,481,435,8304,8512,8544,8622,8294,7805,7480,7330,6408,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.48814574048885,-33.0731390681358]}"
6,7818,804,755,8240,8440,8536,8548,8212,7909,7808,7481,6322,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.48670843603425,-33.072510247436924]}"
7,7091,394,383,7628,7992,8092,7951,7539,6985,6812,6451,5378,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.53108521106977,-33.05768804524895]}"
8,3574,574,531,5804,6104,6128,6365,5949,5675,5404,5278,3615,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.53917004862683,-33.06074231721495]}"
9,7117,414,405,7636,8052,8184,7985,7601,7155,6988,6566,5468,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.53099537954135,-33.058406697476244]}"
10,6293,658,626,8224,8688,8888,8386,8168,7647,8040,7185,5746,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.532881841638,-33.06056265415813]}"
11,7038,589,559,8816,9112,9176,9037,8706,8256,8296,7773,6086,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.53342083080847,-33.06047282262972]}"
12,5436,574,566,7668,8008,8040,8330,7900,7450,7080,6956,5028,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.53018689578565,-33.05876602358989]}"
13,8735,809,779,9656,9912,9928,9822,9625,9242,9120,8857,7492,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.48949321341503,-33.07125260603915]}"
14,8150,599,562,8744,9032,9056,8989,8669,8233,8084,7689,6656,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.54321246740537,-33.05634057232277]}"
15,8526,647,635,9168,9544,9648,9424,9144,8579,8416,8040,6911,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.54438027727473,-33.05777787677736]}"
16,7307,458,438,8248,8616,8704,8391,7980,7379,7324,6830,5628,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.532881841638,-33.05912534970354]}"
17,8323,500,450,8808,9000,9048,8898,8509,8096,8008,7609,6408,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.48859489813091,-33.072779742022156]}"
18,8150,609,575,8656,9128,9168,9162,8803,8278,7968,7800,6656,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.54312263587695,-33.05678972996483]}"
19,6964,377,357,7720,8104,8168,7887,7481,6855,6640,6232,5282,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.52919874897312,-33.05768804524895]}"
20,7494,401,388,7828,8184,8256,7982,7546,6959,6976,6340,5618,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.53189369482547,-33.057238887606886]}"
21,8344,595,547,8712,8928,8952,8978,8687,8285,8124,7894,6689,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.4900322025855,-33.07242041590851]}"
22,7095,563,535,7536,7768,7904,8246,7880,7427,6988,6904,5848,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.53045639037087,-33.058945686646716]}"
23,3574,519,514,6032,6336,6420,7179,6887,6487,5756,6083,3615,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.53925988015524,-33.06074231721495]}"
24,7212,537,515,7868,8200,8248,8375,8036,7518,7096,7080,5659,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.532881841638,-33.05661006690801]}"
