system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,5912,341,315,5248,5552,5664,6888,6451,6059,4688,5723,5512,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.52417733194574,-38.97596880008518]}"
1,6593,224,204,8592,9064,9240,9585,8858,8397,8392,7676,6379,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.53091469657664,-38.98297565930131]}"
2,6390,1134,1104,7272,7632,7916,8255,7734,7380,6768,6786,6041,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.53558593605406,-38.979023072051184]}"
3,6044,955,907,6756,7036,7132,7546,7064,6732,6348,6175,5738,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.53594526216771,-38.98010105039213]}"
4,7497,231,206,8084,8576,8920,9252,8750,8238,7984,7598,7454,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.53558593605406,-38.98414346917067]}"
5,9142,406,363,9144,9696,9824,10454,9805,9156,8408,8456,8657,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.52552480487192,-38.97345351728965]}"
6,6849,234,212,7568,8000,8336,8802,8267,7884,7472,7237,6912,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.53603509369611,-38.985490942096845]}"
7,6567,731,644,7384,7668,7760,8330,7827,7392,7016,6748,6461,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.52956722365046,-38.98279599624449]}"
8,7531,1495,1424,7740,8156,8336,8513,8036,7650,7404,7105,7181,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.53432829465629,-38.97893324052277]}"
9,7327,216,180,7480,7824,7872,8886,8347,7728,6872,7172,6833,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.53109435963346,-38.97794509371024]}"
10,6221,184,153,6996,7328,7388,7537,6981,6570,6548,5857,6142,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.53019604434934,-38.98198751248878]}"
11,8999,286,244,9392,9808,9904,10591,9831,9077,8504,8447,8570,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.52148238609338,-38.97300435964758]}"
12,8793,1225,1118,8608,9080,9176,9573,8988,8392,7980,7692,8075,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.52624345709921,-38.973543348818055]}"
13,8801,419,370,9880,10456,10632,10811,10063,9420,9200,8584,8420,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.52705194085492,-38.973812843403294]}"
14,7832,995,925,8264,8728,8792,8984,8521,7926,7612,7350,7478,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.51752979884326,-38.973543348818055]}"
15,8027,251,220,8864,9384,9664,9980,9430,8890,8568,8164,7933,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.5328011586733,-38.98162818637513]}"
16,7814,228,177,8704,9240,9376,9223,8562,8056,8192,7265,7494,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.53199267491759,-38.97821458829548]}"
17,8007,425,411,9056,9576,9592,9836,9232,8621,8616,7839,7811,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.533609642429,-38.97821458829548]}"
18,7056,822,768,8464,8944,9056,9457,8668,8217,7740,7611,6655,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.52417733194574,-38.975250147857885]}"
19,8673,457,441,9536,10032,10312,10521,9804,9232,8864,8389,8263,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.52884857142317,-38.97471115868741]}"
20,7733,202,171,7464,7816,7856,8536,7995,7426,7032,6604,7604,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.52956722365046,-38.97794509371024]}"
21,8041,1336,1309,8424,8760,8840,9143,8588,8105,7740,7482,7463,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.5223807013775,-38.973543348818055]}"
22,7294,1015,953,7772,8156,8224,8490,7946,7452,7124,6907,6725,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.52327901666162,-38.97471115868741]}"
23,5500,705,621,5600,5812,5844,6148,5735,5460,4936,4957,5001,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.51752979884326,-38.969321266982696]}"
24,7927,1223,1297,8368,8704,8928,9390,8853,8378,8012,7787,7719,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.53369947395741,-38.978843408994365]}"
