system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,6864,301,220,6772,7080,7104,7579,7357,6799,6436,6453,6178,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.70608617697995,-39.49887812697116]}"
1,7961,200,210,8116,8592,8688,8894,8362,7681,7520,7054,7017,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.71605747663367,-39.49959677919845]}"
2,7215,315,278,7316,7716,7824,8023,7689,7097,6676,6559,6524,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.71012859575848,-39.49887812697116]}"
3,7070,293,231,7184,7308,7580,7730,7387,6914,6652,6495,6437,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.71830326484397,-39.50193239893716]}"
4,6511,328,221,6468,6764,6900,7064,6888,6504,6020,6143,5971,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.71605747663367,-39.50184256740875]}"
5,7179,233,195,6800,7104,7168,7389,6985,6386,6044,5882,6111,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.71767444414509,-39.50049509448257]}"
6,7251,227,165,6960,7324,7516,7429,7048,6627,6092,6165,6227,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.71479983523591,-39.49726115945974]}"
7,6652,361,262,6224,6552,6844,7010,6760,6345,5988,5985,6106,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.70788280754819,-39.49914762155639]}"
8,6710,322,332,6840,7236,7264,7359,7028,6423,6416,5920,6090,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.71183539479831,-39.49959677919845]}"
9,7991,223,197,7916,8336,8448,8728,8331,7688,7176,7125,6994,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.71596764510527,-39.500225599897334]}"
10,5049,365,328,5928,6256,6620,6799,6526,6046,5912,5661,5339,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.70770314449136,-39.49941711614162]}"
11,7371,216,192,7564,7784,7972,8115,7673,7080,6772,6542,6352,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.71120657409942,-39.49735099098815]}"
12,7504,167,149,7360,7580,7760,7954,7576,6918,6488,6355,6322,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.71363202536655,-39.49726115945974]}"
13,7112,345,273,7080,7484,7536,7536,7142,6646,6412,6171,6006,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.71947107471333,-39.49968661072686]}"
14,7215,335,295,7204,7588,7704,7973,7539,6897,6508,6400,6524,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.7103082588153,-39.49896795849956]}"
15,6764,331,301,7120,7204,7316,7386,7110,6551,6332,6034,5923,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.71965073777015,-39.500225599897334]}"
16,6619,400,368,6964,7368,7428,7582,7193,6536,6612,6162,6340,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.71740494955985,-39.503100208806515]}"
17,6900,292,252,7384,7216,7412,7561,7281,6765,6640,6269,6027,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.71947107471333,-39.50157307282351]}"
18,7112,354,277,6800,7192,7220,7255,6918,6483,6192,5992,6006,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.71911174859967,-39.499776442255275]}"
19,7166,362,272,7232,7480,7584,7679,7492,7009,6496,6535,6656,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.71758461261668,-39.502381556579216]}"
20,6944,269,245,6552,6828,7304,7404,7135,6578,6128,6132,5676,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.71749478108826,-39.50175273588034]}"
21,7240,306,297,7292,7504,7628,7778,7432,6829,6512,6268,6253,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.7192914116565,-39.50031543142575]}"
22,7325,244,200,7236,7612,7704,7958,7598,6995,6636,6495,6322,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.71911174859967,-39.49842896932909]}"
23,6764,321,295,7032,7328,7376,7424,7100,6566,6256,6067,5923,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.71992023235539,-39.50013576836892]}"
24,7241,300,324,7436,7500,7584,7824,7414,6789,6552,6210,6202,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.70985910117325,-39.498069643215445]}"
