system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,6404,1061,1099,7308,7148,7296,8153,7813,7536,6304,6826,5623,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.37342630442494,-15.974426287148008]}"
1,9105,643,665,9456,9456,9480,8892,8824,8492,8352,7952,7158,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.37594158722047,-15.97730089605719]}"
2,9411,837,880,10272,9864,9952,10066,9848,9415,8864,8876,7503,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.37423478818064,-15.974426287148008]}"
3,6073,1166,966,7236,7044,7056,6919,6528,6207,6064,5796,4862,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.37243815761241,-15.977480559114015]}"
4,7819,1129,928,6004,6192,6352,7316,6925,6654,5688,6191,5873,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.37854670154441,-15.974246624091185]}"
5,9291,765,811,8696,8888,8912,9099,8807,8631,7980,8063,7446,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.37971451141377,-15.977839885227663]}"
6,9346,745,782,5732,5576,5684,7563,7006,6803,5140,6710,7381,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.37387546206699,-15.975504265488953]}"
7,9112,775,838,8172,8432,8440,8513,8461,8146,7700,7843,7194,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.37971451141377,-15.977570390642427]}"
8,9322,686,740,7228,7568,7660,9022,8610,8107,6844,7654,7649,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.38007383752742,-15.978019548284486]}"
9,7941,941,908,5292,5380,5540,6350,6230,6241,5024,5573,5644,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.37360596748175,-15.975055107846892]}"
10,8660,836,828,8680,8096,8424,8356,8251,7951,7436,7330,6466,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.37486360887952,-15.973707634920713]}"
11,5730,1393,1119,6708,6952,7032,6989,6836,6499,6112,5952,4642,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.37216866302717,-15.977570390642427]}"
12,7858,699,729,7492,7884,8200,9030,8732,8308,6960,8065,6825,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.38160097351042,-15.977929716756075]}"
13,8237,634,636,7672,7804,7900,8717,8392,7900,7044,7347,6290,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.37980434294218,-15.974695781733244]}"
14,9105,644,662,10160,10088,10096,9420,9127,8805,8808,8309,7158,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.37594158722047,-15.977570390642427]}"
