system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8781,834,824,9408,9928,10008,10380,10032,9661,9360,9472,7425,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62330691978093,-9.122777985805913]}"
1,9909,495,487,8904,8576,8816,10196,9478,9381,8496,8732,7458,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.63106836383572,-9.120532197595614]}"
2,9299,593,565,9248,9232,9280,8488,8078,7786,7880,7329,7375,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62406150461959,-9.124664447902564]}"
3,9790,740,700,9520,9576,9696,10636,10077,9799,8864,9169,8095,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62490592098666,-9.12479021204234]}"
4,10387,680,644,9872,10160,10248,10793,10360,10065,9456,9767,8371,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62803205817539,-9.124736313125293]}"
5,8959,817,772,9496,9664,9784,9318,8978,8492,8880,8465,7368,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62325302086387,-9.120154905176284]}"
6,6274,817,821,5460,5704,5948,7228,6773,6805,5768,6804,5707,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.625678472131,-9.118268443079634]}"
7,8332,763,797,8992,9216,9288,8981,8570,8607,8768,8077,6918,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.626073730856,-9.122346794469536]}"
8,9942,732,749,9712,9904,10008,9955,9737,9359,9392,9146,8111,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62866087887427,-9.118537937664868]}"
9,9282,843,851,9864,10000,10416,10940,10338,9973,9584,9470,7913,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62411540353663,-9.120819658486532]}"
10,8834,580,609,6308,6476,6756,7110,7168,6532,6388,6735,7331,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62503168512643,-9.121915603133159]}"
11,4687,1390,1412,10040,9992,10032,8217,7907,7702,9496,7402,5421,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62372014481161,-9.11855590397055]}"
12,8332,564,538,7204,7416,7484,8429,7915,7589,6964,7579,6918,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62575033735374,-9.122670187971819]}"
13,9138,894,954,10208,10352,10448,8131,8135,7930,9904,8057,7955,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.626073730856,-9.117459959323925]}"
15,6770,877,787,9264,9552,9856,10214,9911,9454,9080,8898,6922,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62584016888214,-9.119400320337624]}"
16,8420,923,925,8688,9224,9408,9865,9673,9309,9000,9245,7341,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.6246543927071,-9.12056813020698]}"
17,7866,874,890,9120,9504,9584,8627,8496,8039,8616,7716,7283,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62274996430477,-9.118843364861469]}"
18,9764,871,963,9608,9856,9888,10200,10041,9777,9448,9733,8255,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62999038549478,-9.11711859951596]}"
19,9590,722,699,9096,9504,9672,9583,9283,8989,8936,8745,8029,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62578626996509,-9.124502751151423]}"
20,9378,698,660,10912,10704,10752,9735,9326,9169,9480,9150,7928,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62646898958103,-9.122616289054772]}"
21,9814,719,726,9848,9792,9928,9581,9218,8904,8744,8621,7776,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.6281218897038,-9.117064700598913]}"
22,9595,772,780,9104,9144,9312,9806,9530,9461,8800,9043,7856,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.63040361052546,-9.11898709530693]}"
23,9131,633,649,8872,9104,9160,9823,9534,9094,8188,8663,7431,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.6279242603413,-9.121538310713827]}"
24,10939,854,848,10000,10224,10496,10376,9936,10043,9872,9581,9121,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62704391136286,-9.124718346819611]}"
