system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7815,715,667,9504,9232,9280,9280,8849,8410,7900,7965,5647,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.55677245391372,-15.822431341074985]}"
1,9136,838,832,7744,7448,7704,8845,8919,7729,6988,7928,7279,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.54994525775442,-15.823868645529577]}"
2,9037,622,587,7144,6768,7676,8377,8042,7650,6552,7312,6744,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.55290969819201,-15.824856792342109]}"
3,8850,507,464,8504,7944,8488,7743,7380,6831,6952,6184,6317,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.55237070902155,-15.823329656359105]}"
4,4391,849,928,8180,8112,8180,8628,8338,8034,7728,7623,6064,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.55075374151012,-15.827551738194467]}"
5,9146,616,625,10784,10696,10712,9988,8506,9170,8952,7674,6545,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.55084357303853,-15.823868645529577]}"
6,9978,772,847,10320,9792,10048,9291,9635,8571,9040,8933,8476,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.54976559469759,-15.823599150944341]}"
7,9492,1014,930,7716,7452,8080,9159,8888,8635,7088,8276,7393,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.55452666570343,-15.822251678018162]}"
8,8928,612,613,8864,8600,9192,8607,8153,7557,7728,7375,6491,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.55255037207837,-15.823149993302282]}"
9,7726,1049,1076,9456,9816,9832,9881,9719,9633,9208,9291,7710,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.54949610011236,-15.822251678018162]}"
10,8245,759,704,8076,8124,8280,9659,9217,8922,7352,8089,6537,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.55371818194772,-15.825216118455756]}"
11,9228,703,635,9064,8432,8688,9511,9311,8820,7540,8285,7079,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.5535385188909,-15.824587297756873]}"
12,7401,540,507,6712,6676,6732,6497,5691,5336,5020,4973,5610,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.55776060072625,-15.821982183432926]}"
13,8381,511,503,5928,5952,6056,7123,6548,6345,4940,5700,5989,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.54949610011236,-15.824677129285284]}"
14,8850,554,528,9944,9848,9936,8733,7844,7400,8504,6943,6317,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.55219104596472,-15.823419487887517]}"
15,7726,1049,1076,8664,9080,9416,9881,9719,9633,8752,9291,7710,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.54940626858395,-15.822341509546574]}"
16,7985,730,779,9136,8704,8864,7315,6961,7155,8000,6471,6446,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.54940626858395,-15.827102580552408]}"
17,7726,1049,1076,8288,8752,9072,9881,9719,9633,8280,9291,7710,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.54940626858395,-15.822251678018162]}"
18,8226,616,673,6132,5992,6176,6618,6933,6235,5380,6575,6308,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.54940626858395,-15.823329656359105]}"
19,9185,490,531,6904,6652,7008,7012,7035,6698,5936,6284,6983,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.55120289915219,-15.824227971643225]}"
20,6761,1033,1012,9336,9416,9440,10536,9740,9139,8172,8800,5893,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.55488599181707,-15.820724542035158]}"
21,8287,542,539,9920,9856,10280,7601,7644,7311,8752,6836,6164,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.5536283504193,-15.821982183432926]}"
22,8730,438,479,6176,6480,6508,6950,6600,6573,5136,5912,6143,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.54886727941347,-15.823868645529577]}"
23,9302,694,690,8952,9032,9096,10091,9454,9051,8116,8472,6918,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.55273003513518,-15.824677129285284]}"
24,8245,598,578,10528,10072,10192,8929,8744,8469,8424,7882,6537,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.55380801347613,-15.824856792342109]}"
