system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8065,255,278,10072,10128,10224,8770,8970,8026,8568,7493,5950,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62391777417412,-8.98499438752766]}"
1,9293,218,296,6696,6972,7116,8575,8283,7732,6076,7092,6808,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62337878500365,-8.985084219056072]}"
2,10354,226,320,8952,8776,9368,9925,9766,8964,7308,8154,6683,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62203131207747,-8.98409607224354]}"
3,6767,176,183,6364,6544,6572,6202,6481,5506,5444,5129,4704,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62562457321394,-8.982119778618477]}"
4,7875,215,230,8352,8368,8632,8789,8665,7842,7396,7410,5946,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.624546594873,-8.984006240715129]}"
5,7068,205,215,7084,7284,7292,6996,6963,6442,6300,5907,5109,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62517541557189,-8.98319775695942]}"
6,7441,218,239,7980,8256,8480,8375,7801,7094,6904,6675,5438,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62490592098665,-8.982838430845772]}"
7,7637,198,246,6256,6496,6644,6934,6974,6313,5536,5662,5390,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62364827958888,-8.985623208226544]}"
8,6242,190,203,6704,6488,7012,7893,7266,6889,5864,6134,4891,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62535507862871,-8.984365566828776]}"
9,6177,194,208,6924,7008,7056,7534,6836,6300,5460,5666,4511,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62553474168553,-8.983018093902597]}"
10,6745,198,201,5936,6224,6512,7144,6994,6422,5560,5871,5016,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62535507862871,-8.983916409186717]}"
11,9044,732,668,9120,9600,9960,10029,9632,9063,8488,8387,6988,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62176181749223,-8.980233316521826]}"
12,7441,201,216,8464,8248,8256,8102,7617,6906,6888,6481,5438,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62499575251506,-8.98265876778895]}"
13,4963,247,253,6380,6104,6256,5654,5324,5072,5244,4543,3897,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.6252652471003,-8.98499438752766]}"
14,4705,249,260,5640,5924,5936,5466,4633,4592,4588,3985,3676,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62706187766854,-8.98131129486277]}"
15,5231,200,209,6368,6552,6684,6369,5816,5453,5560,5080,4256,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62580423627077,-8.9845452298856]}"
16,5340,164,191,5656,5760,5824,5947,5687,5266,4880,4864,4032,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62553474168553,-8.983826577658304]}"
17,6845,188,213,8936,8568,9000,7400,7393,6755,7164,6026,4968,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62481608945824,-8.984275735300365]}"
18,9500,235,263,8960,9080,9224,10473,8972,8517,7084,7430,6497,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62131265985018,-8.9845452298856]}"
19,8065,255,278,8464,8528,8744,8770,8970,8026,7388,7493,5950,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62391777417412,-8.985084219056072]}"
20,5413,224,234,7780,7432,7452,7655,7206,6575,5868,5919,3876,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.6192465346967,-8.980323148050239]}"
21,5231,207,210,5956,6256,6408,6286,6189,5887,5516,5250,4256,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62553474168553,-8.984455398357188]}"
22,9293,234,274,9560,9696,10296,9694,9578,8609,7984,8013,6808,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62355844806046,-8.984724892942424]}"
23,5743,139,165,5592,5288,5456,4784,4354,4299,3860,3655,3077,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62203131207747,-8.985263882112896]}"
24,7875,179,203,7392,7504,7612,8262,7713,7307,6332,6504,5946,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62481608945824,-8.984006240715129]}"
