"system:index","B1","B11","B12","B2","B3","B4","B5","B6","B7","B8","B8A","B9","class",".geo"
1,8051,1236,1180,8320,8392,8680,9213,8762,8336,7708,7706,7316,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[161.21098715162623,58.651588805098235]}"
2,8051,1236,1180,8408,8368,8672,9213,8762,8336,7724,7706,7316,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[161.2108973200978,58.651588805098235]}"
4,8051,1214,1177,8368,8440,8672,9226,8688,8232,7756,7720,7316,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[161.21116681468305,58.65176846815506]}"
6,8051,1219,1180,8352,8344,8672,9179,8681,8235,7732,7683,7316,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[161.2114363092683,58.65149897356982]}"
8,8051,1219,1180,8264,8344,8680,9179,8681,8235,7764,7683,7316,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[161.21116681468305,58.651588805098235]}"
10,7069,1210,1168,8384,8424,8720,9279,8750,8320,7688,7614,5305,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[161.21116681468305,58.65185829968347]}"
11,8051,1226,1175,8240,8304,8672,9236,8681,8226,7624,7597,7316,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[161.2108973200978,58.65176846815506]}"
13,8051,1236,1180,8480,8512,8720,9213,8762,8336,7800,7706,7316,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[161.2108973200978,58.65149897356982]}"
15,8051,1219,1180,8264,8344,8680,9179,8681,8235,7764,7683,7316,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[161.21125664621147,58.651588805098235]}"
17,8051,1214,1177,8256,8392,8656,9226,8688,8232,7740,7720,7316,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[161.21134647773988,58.65176846815506]}"
18,8051,1226,1175,8296,8352,8696,9236,8681,8226,7732,7597,7316,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[161.2108074885694,58.65167863662665]}"
19,7069,1210,1168,8384,8424,8720,9279,8750,8320,7688,7614,5305,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[161.21125664621147,58.65185829968347]}"
21,8051,1224,1180,8448,8496,8760,9218,8741,8265,7756,7706,7316,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[161.210717657041,58.651588805098235]}"
24,8051,1224,1180,8480,8480,8736,9218,8741,8265,7708,7706,7316,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[161.21044816245578,58.651588805098235]}"
25,6323,1286,1223,7304,7668,8064,8486,8083,7783,7328,7247,6827,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[161.23524166429746,58.65221762579712]}"
26,7072,1257,1218,7748,8216,8392,8833,8380,8037,7552,7452,7183,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[161.2364094741668,58.65338543566647]}"
27,6422,1190,1164,6844,7120,7392,7750,7407,7062,6583,6500,6386,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.84267788513722,58.17988344940707]}"
28,7474,1326,1260,8320,8656,8808,9203,8761,8410,7852,7853,7432,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[161.23730778945094,58.65042099522888]}"
29,6945,1296,1240,7440,7812,8032,8493,8086,7742,7372,7282,7094,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[161.23506200124064,58.65185829968347]}"
30,6422,1186,1161,6532,6848,7168,7513,7154,6848,6322,6347,6386,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.842408390552,58.17961395482184]}"
31,6889,1194,1165,7248,7480,7748,8007,7615,7282,6796,6715,6630,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.84348636889294,58.17988344940707]}"
32,7072,1247,1195,7596,8036,8280,8630,8150,7808,7368,7249,7183,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[161.23667896875205,58.653026109552826]}"
33,7071,1186,1170,7300,7588,7820,8156,7761,7355,6860,6803,6766,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.84438468417707,58.17862580800931]}"
34,7377,1337,1278,8824,9144,9184,9430,8892,8557,8176,8005,7450,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[161.2347925066554,58.65122947898459]}"
35,6467,1182,1164,6880,7148,7444,7721,7382,7052,6575,6515,6403,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.84276771666563,58.17916479717978]}"
36,6370,1402,1319,7988,8392,8616,8786,8513,8097,7732,7511,6627,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[161.23380435984288,58.651139647456176]}"
37,7029,1188,1167,7444,7684,7896,8164,7753,7371,6888,6826,6728,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.84447451570546,58.178985134122954]}"
38,7191,1173,1152,7624,7896,8064,8383,7948,7500,6996,6836,6750,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.84600165168848,58.17844614495248]}"
39,7509,1359,1275,8608,9016,9136,9350,8867,8483,8216,7912,7530,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[161.23820610473507,58.64997183758682]}"
40,7191,1177,1160,7676,7976,8116,8353,7874,7492,7004,6858,6750,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.84528299946118,58.178805471066134]}"
41,6669,1193,1174,7088,7292,7520,7760,7440,7112,6643,6583,6465,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.84267788513722,58.17871563953772]}"
42,6588,1151,1131,7864,8164,8176,8607,8106,7551,6866,6868,5419,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.84743895614307,58.17916479717978]}"
43,7282,1169,1153,7752,7964,8124,8416,7967,7525,7048,6918,6772,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.8460914832169,58.17925462870819]}"
