"system:index","B1","B11","B12","B2","B3","B4","B5","B6","B7","B8","B8A","B9","class",".geo"
12,7357,1187,1158,7128,7468,7676,8012,7644,7293,6789,6763,6857,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.75194804144115,58.025013894424866]}"
13,7357,1189,1148,7932,8256,8304,8372,7952,7641,7304,6891,6857,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.75185820991274,58.02483423136805]}"
14,7357,1187,1158,7392,7696,7840,8012,7644,7293,6931,6763,6857,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.75194804144115,58.02492406289646]}"
15,7357,1187,1158,7392,7696,7840,8012,7644,7293,6931,6763,6857,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.75185820991274,58.02492406289646]}"
16,7267,1177,1143,7572,7828,7928,8245,7759,7314,6916,6781,6738,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.75257686214005,58.02519355748169]}"
17,8333,1176,1148,8376,8600,8608,8874,8297,7888,7307,7214,7424,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.75248703061163,58.02492406289646]}"
18,7357,1189,1148,7304,7684,7832,8372,7952,7641,6973,6891,6857,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.7516785468559,58.02483423136805]}"
19,7357,1187,1158,6880,7304,7504,8012,7644,7293,6703,6763,6857,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.7516785468559,58.02492406289646]}"
20,7267,1184,1151,7088,7468,7600,7854,7501,7156,6699,6572,6738,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.75203787296957,58.02510372595328]}"
21,7267,1171,1150,7308,7600,7768,7905,7534,7141,6723,6575,6738,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.75275652519687,58.025283389010106]}"
22,7267,1184,1151,7280,7552,7732,7854,7501,7156,6777,6572,6738,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.7522175360264,58.02510372595328]}"
23,7267,1177,1143,7608,7864,7968,8245,7759,7314,6881,6781,6738,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.75239719908322,58.02510372595328]}"
24,8333,1183,1147,7728,8060,8140,8468,8011,7608,7123,6939,7424,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.75212770449798,58.02492406289646]}"
25,8333,1183,1147,7920,8264,8344,8468,8011,7608,7231,6939,7424,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.7522175360264,58.02492406289646]}"
26,8333,1183,1147,7680,8016,8140,8468,8011,7608,7056,6939,7424,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.7522175360264,58.025013894424866]}"
27,7819,1167,1134,7420,7624,7772,8378,7940,7534,6777,6863,7029,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.75311585131053,58.02537322053852]}"
28,7267,1171,1150,7592,7916,7996,7905,7534,7141,6884,6575,6738,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.7529361882537,58.025283389010106]}"
29,7819,1167,1134,8124,8280,8376,8378,7940,7534,7148,6863,7029,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.75311585131053,58.025283389010106]}"
30,7267,1184,1151,7280,7552,7732,7854,7501,7156,6777,6572,6738,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.7523073675548,58.02510372595328]}"
31,7267,1165,1148,7816,8076,8124,8645,8103,7704,6911,7052,6738,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.75284635672529,58.02519355748169]}"
32,7267,1178,1145,6912,7284,7460,7801,7437,6996,6566,6561,6738,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.75257686214005,58.025283389010106]}"
33,7267,1177,1143,7816,8040,8200,8245,7759,7314,6995,6781,6738,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.75257686214005,58.02510372595328]}"
34,7267,1177,1143,7004,7312,7524,8245,7759,7314,6584,6781,6738,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.75239719908322,58.02519355748169]}"
35,8333,1176,1148,8216,8496,8504,8874,8297,7888,7196,7214,7424,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.75266669366846,58.025013894424866]}"
36,7267,1165,1148,7816,8076,8124,8645,8103,7704,6911,7052,6738,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.75275652519687,58.02519355748169]}"
37,6748,1152,1147,7680,7968,7988,8520,7965,7575,6567,6841,6160,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.6101938896071,57.906256613864265]}"
38,7947,1172,1147,8656,8920,8936,9148,8644,8192,7612,7497,7329,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.77009401018037,58.0418123902379]}"
39,6848,1157,1145,7188,7416,7456,7918,7447,7108,6455,6474,6280,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.61046338419234,57.90589728775062]}"
40,8000,1169,1141,8672,9000,9032,9270,8643,8165,7712,7595,7403,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.7695550210099,58.043339526220905]}"
41,6877,1161,1137,6976,7348,7356,7776,7293,6826,6327,6252,6322,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.6110922048912,57.90706509761998]}"
42,7398,1158,1144,6952,7288,7344,7534,7064,6760,6243,6131,6764,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.61279900393106,57.90643627692109]}"
43,7320,1145,1137,7024,7336,7512,7976,7558,7138,6195,6491,6517,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.61127186794803,57.90634644539268]}"
44,8004,1171,1145,7996,8280,8480,8972,8460,7990,7400,7355,7405,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.7703635047656,58.04307003163567]}"
45,7978,1166,1143,7896,8144,8216,8925,8484,7983,7236,7301,7363,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.7709024939361,58.04208188482314]}"
46,7826,1165,1149,8408,8720,8744,9098,8596,8100,7444,7382,7252,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.7724296299191,58.043609020806144]}"
47,7948,1162,1140,8432,8616,8672,9090,8507,8026,7411,7373,7232,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.77494491271463,58.04307003163567]}"
48,7978,1170,1133,8296,8656,8728,9029,8472,8003,7477,7290,7363,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.77063299935085,58.042171716351554]}"
49,8088,1168,1136,8592,8864,8880,9160,8576,8090,7592,7477,7448,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.76919569489627,58.042890368578846]}"
50,7978,1171,1142,8440,8792,8808,9127,8512,8038,7543,7424,7363,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.7703635047656,58.04226154787997]}"
51,8000,1169,1141,8744,8960,9040,9270,8643,8165,7631,7595,7403,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.76973468406672,58.043339526220905]}"
52,8042,1167,1142,8020,8464,8528,8970,8502,8060,7308,7407,7370,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.76982451559513,58.04208188482314]}"
53,7923,1168,1150,8312,8672,8728,9143,8628,8084,7450,7426,7304,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.77135165157813,58.04351918927773]}"
54,7826,1168,1149,8108,8408,8544,8780,8410,7930,7321,7171,7252,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.77305845061798,58.04351918927773]}"
55,7320,1160,1148,7728,8060,8084,8380,7749,7360,6736,6553,6517,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.61064304724917,57.906526108449505]}"
56,7978,1170,1141,8640,8864,8904,9121,8657,8188,7625,7397,7363,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.7702736732372,58.04208188482314]}"
57,8093,1163,1139,8264,8576,8664,9040,8506,8134,7391,7377,7309,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.7755737334135,58.042171716351554]}"
58,7946,1167,1148,8216,8544,8648,9098,8582,8140,7412,7382,7355,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.77054316782244,58.043339526220905]}"
59,7978,1170,1141,8640,8896,8912,9132,8583,8088,7632,7478,7363,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.77108215699292,58.04226154787997]}"
60,7947,1172,1147,8656,8920,8936,9148,8644,8192,7612,7497,7329,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.77000417865196,58.0418123902379]}"
61,7466,1147,1131,6996,7176,7288,8014,7501,7184,5919,6390,6469,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.61118203641962,57.90598711927903]}"
62,8360,1640,1642,8792,9048,9176,9409,8951,8497,7732,7702,8660,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.64540784874458,57.90715492914839]}"
63,8330,1711,1670,8704,9032,9080,9443,8928,8471,7674,7752,7600,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.6462163325003,57.906256613864265]}"
64,8481,1656,1495,8728,8880,8952,9411,8879,8440,7687,7828,7871,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.6455875118014,57.90742442373362]}"
65,8694,1509,1488,9296,9640,9680,10121,9474,8960,8120,8154,7822,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.64819262612536,57.908412570546155]}"
66,9550,1322,1229,9768,9840,9880,9966,9334,8849,8141,8043,8588,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.63714334813068,57.9072447606768]}"
67,8373,1680,1647,9184,9432,9440,9608,8986,8533,8225,7860,7733,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.64891127835264,57.906975266091564]}"
68,8330,1729,1670,8688,9040,9080,9339,8853,8410,7745,7704,7600,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.64639599555713,57.906256613864265]}"
69,9127,1607,1564,9280,9664,9832,9989,9350,8844,7899,8067,8045,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.65115706656294,57.9049989724665]}"
70,8580,1611,1616,9248,9504,9528,9629,9072,8589,8216,7828,7748,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.64657565861393,57.908412570546155]}"
71,8580,1616,1574,9552,9600,9648,9791,9296,8739,8175,8051,7748,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.64657565861393,57.9087718966598]}"
72,8226,1609,1601,8656,8816,8840,9001,8480,8015,7538,7292,7394,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.64522818568776,57.90922105430186]}"
73,9111,1907,1743,8880,9160,9184,9473,8931,8525,7767,7856,7966,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.65259437101753,57.9049989724665]}"
74,7933,1532,1495,8108,8552,8720,8891,8344,7876,7438,7235,7275,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.64432987040365,57.90904139124504]}"
75,8521,1639,1676,8816,9144,9200,9611,9062,8626,7764,7805,7707,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.64729431084123,57.907514255262036]}"
76,8718,1511,1582,9504,9736,9944,10189,9417,8819,8215,8047,7807,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.64819262612536,57.90814307596092]}"
77,8393,1677,1625,8552,8840,8944,9163,8679,8217,7587,7526,7584,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.64513835415934,57.908861728188214]}"
78,8462,1860,1761,8792,8992,9064,9194,8764,8304,7680,7680,7550,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.6483722891822,57.90562779316539]}"
79,8694,1544,1420,9632,9832,9840,9836,9307,8895,8164,8119,7822,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.648551952239,57.90850240207457]}"
80,9363,1287,1245,9656,9840,9952,10338,9611,9092,8295,8390,7992,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.63831115800005,57.90688543456315]}"
81,7392,1296,1205,8960,9088,9184,9307,9000,8307,7644,7586,5795,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.63678402201703,57.9072447606768]}"
82,8521,1499,1506,8720,8872,9304,9565,8975,8455,7788,7811,7707,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.6478333000117,57.90733459220521]}"
83,10091,1395,1420,9352,9704,9920,10548,9830,9254,8040,8325,8358,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.651606224205,57.90454981482444]}"
84,8166,1852,1918,8736,8840,8872,9122,8662,8129,7564,7411,7368,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.65097740350612,57.90706509761998]}"
85,8404,1602,1732,9072,9288,9448,9581,8879,8303,7817,7543,7503,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.6522350449039,57.90553796163697]}"
86,7933,1530,1503,8424,8752,8864,9079,8491,8123,7497,7353,7275,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.64459936498886,57.90931088583027]}"
