"system:index","B1","B11","B12","B2","B3","B4","B5","B6","B7","B8","B8A","B9","class",".geo"
25,8218,234,194,9192,9488,9576,9541,9072,8635,8464,8000,7702,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.96026404761125,48.7738936039768]}"
26,4117,543,494,8840,9120,9336,9217,9357,8866,8864,8020,5394,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.96709124377055,48.77218680493697]}"
27,6349,206,198,8840,9064,9120,8926,8490,7872,7860,7171,6111,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.9576589332873,48.77622922371551]}"
28,2430,753,708,7204,7504,7540,7024,6394,6230,6792,5743,3661,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.9741879345151,48.77622922371551]}"
29,8310,275,230,10448,10656,10840,10680,10129,9543,9648,8970,8206,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.96098269983854,48.77344444633474]}"
30,6031,315,278,9288,9456,9560,8035,8219,7744,8352,7058,6303,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.97176248324797,48.77533090843139]}"
31,7568,284,219,7632,7476,7788,7887,7601,7030,6768,6751,6933,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.96996585267974,48.77362410939156]}"
32,7641,219,191,7568,7812,7968,8654,8162,7709,6896,7121,7051,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.96996585267974,48.77434276161886]}"
33,6532,335,335,8140,8624,8672,8971,8559,8088,7724,7362,6838,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.97400827145827,48.77640888677234]}"
34,8025,224,184,9016,9176,9224,9816,9120,8581,8032,7942,7750,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.97095399949227,48.77524107690298]}"
35,6608,232,220,8000,8180,8240,8606,7986,7504,7196,7133,6486,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.95738943870207,48.775600403016625]}"
36,5478,455,390,8376,8816,8904,8817,9084,8443,7868,8342,6061,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.96313865652043,48.77209697340856]}"
37,8503,281,241,7880,8328,8656,9277,9008,8556,7992,8163,7960,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.96188101512266,48.77290545716427]}"
38,8503,294,260,8116,8584,8864,9109,8964,8618,8256,8034,7960,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.96161152053743,48.772995288692684]}"
39,6608,265,217,9192,9552,9560,9213,8871,8244,8480,7585,6486,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.95774876481572,48.77551057148822]}"
40,6404,258,253,8312,8512,8656,9555,9024,8530,7668,7898,6218,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.95756910175889,48.77506141384615]}"
41,6133,272,241,8680,9152,9304,9810,9274,8762,8480,8140,6749,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.97095399949227,48.77479191926092]}"
42,7021,318,342,9264,9784,10272,10934,10311,9930,9416,9404,7416,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.96412680333296,48.77218680493697]}"
43,8503,330,314,8952,9464,9608,9925,9460,9020,8840,8768,7960,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.96116236289537,48.772995288692684]}"
44,7641,198,181,8416,8736,8768,8859,8397,7940,7612,7320,7051,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.96978618962291,48.77425293009045]}"
45,3248,551,492,8032,8164,8728,8200,7785,7290,7700,6997,4152,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.97257096700369,48.77551057148822]}"
46,4632,365,360,9080,8840,9128,8591,8432,8027,7552,6920,5040,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.95729960717365,48.77479191926092]}"
47,7646,268,220,8704,9152,9392,9402,9150,8587,8432,8039,7129,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.95936573232713,48.77425293009045]}"
48,5352,364,345,8060,8544,8616,8162,7422,7178,7824,6511,5773,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.97014551573656,48.773983435505215]}"
49,6323,290,288,7716,8112,8240,8240,7835,7347,7240,6762,6548,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.97014551573656,48.77308512022109]}"
50,7483,119,109,8072,8368,8376,8518,7955,7338,7028,6651,6600,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.13336940286108,48.531528140321356]}"
51,7379,133,109,7968,8304,8328,8431,7904,7274,7016,6614,6576,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.12950664713937,48.53251628713389]}"
52,7436,128,115,7992,8272,8312,8460,7924,7305,7060,6714,6648,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.12779984809954,48.533145107832766]}"
53,7436,128,115,7948,8224,8280,8460,7924,7305,7044,6714,6648,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.12788967962796,48.53305527630436]}"
54,7309,132,118,7796,8080,8092,8226,7700,7107,6764,6467,6459,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.1289676579689,48.53080948809406]}"
55,7363,127,119,7624,7836,7856,8074,7564,7001,6668,6370,6428,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.13318973980425,48.528384036826935]}"
56,7434,120,101,7940,8264,8304,8377,7828,7205,6976,6571,6572,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.13220159299172,48.531887466435]}"
57,7488,129,111,7944,8232,8240,8383,7864,7252,6928,6595,6518,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.13489653884409,48.53062982503724]}"
58,7309,131,109,7832,8116,8124,8197,7682,7080,6792,6465,6459,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.12914732102571,48.530719656565644]}"
59,7390,139,112,8000,8312,8328,8404,7836,7289,7012,6615,6589,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.1282490057416,48.531977297963415]}"
60,7418,124,111,7948,8280,8296,8421,7860,7260,6932,6594,6515,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.13247108757696,48.53161797184977]}"
