system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7591,190,187,7824,8060,8568,8883,8336,7635,7344,7092,7005,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.9724844436925,58.21833134356739]}"
1,9240,246,226,9208,9264,9432,9835,9170,8366,7824,7767,7629,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.93313823424808,58.26899632559173]}"
2,8514,241,224,8896,9040,9304,9765,9018,8303,7880,7619,7381,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.93358739189011,58.26863699947808]}"
3,7566,190,190,7696,7860,8440,8939,8298,7707,7256,7053,7048,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.97490989495964,58.218600838152625]}"
4,7505,197,188,7592,7752,8480,8908,8337,7678,7252,7094,6995,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.97499972648805,58.21833134356739]}"
5,9240,245,219,9080,9168,9352,9793,9089,8286,7788,7645,7629,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.93340772883332,58.26899632559173]}"
6,7471,204,176,7492,7716,8400,8827,8215,7545,7084,6961,6892,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.97562854718691,58.218870332737865]}"
7,7505,192,173,7840,8040,8568,8923,8305,7664,7300,7028,6995,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.9740115796755,58.21806184898215]}"
8,8514,246,232,9256,9368,9416,9788,9074,8319,7876,7679,7381,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.9333178973049,58.2687268310065]}"
9,7566,201,182,7704,7804,8600,8995,8470,7776,7304,7131,7048,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.97428107426074,58.21878050120945]}"
10,8242,242,233,9208,9248,9296,9650,8895,8108,7684,7498,7248,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.93394671800377,58.26980480934744]}"
11,8514,246,232,9144,9280,9416,9788,9074,8319,7880,7679,7381,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.9332280657765,58.26863699947808]}"
12,9240,246,247,9168,9256,9344,9753,9074,8236,7812,7606,7629,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.93376705494694,58.26899632559173]}"
13,8911,251,222,8864,8976,9352,9856,9166,8457,7956,7723,7651,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.93241958202077,58.26926582017697]}"
14,8911,251,222,8928,9064,9352,9856,9166,8457,7984,7723,7651,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.93241958202077,58.269175988648556]}"
15,7505,197,169,7440,7676,8456,8956,8378,7719,7184,7112,6995,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.9746404003744,58.2184211750958]}"
16,7668,194,191,7816,7940,8528,8946,8384,7684,7220,7054,7066,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.9732929274482,58.218600838152625]}"
17,9198,253,219,9176,9200,9392,9750,9035,8287,7836,7675,7656,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.9332280657765,58.26980480934744]}"
18,9240,244,211,9080,9184,9392,9858,9146,8373,7892,7741,7629,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.9333178973049,58.269175988648556]}"
19,8514,241,224,8896,9040,9304,9765,9018,8303,7880,7619,7381,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.93349756036173,58.26863699947808]}"
20,8911,245,219,9304,9416,9520,9878,9175,8364,7876,7738,7651,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.93250941354918,58.26881666253491]}"
21,7505,197,169,7440,7676,8456,8956,8378,7719,7184,7112,6995,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.97455056884598,58.2184211750958]}"
22,7505,190,170,7668,7880,8416,8915,8310,7641,7252,7020,6995,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.9740115796755,58.21824151203898]}"
23,8514,228,229,9168,9152,9440,9880,9206,8436,7840,7733,7381,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.93340772883332,58.26845733642126]}"
