system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,6318,223,155,6728,7000,7988,8632,8312,7701,7476,7082,7161,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.3791243271223,58.173056253247765]}"
1,7281,406,369,7344,7460,8368,9111,9063,8510,8060,7835,8384,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-157.0130699974073,57.142868285419496]}"
2,5912,220,147,6480,6820,7624,7987,7736,7198,7084,6603,6592,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.3783158433666,58.172607095605706]}"
3,5898,214,151,6344,6624,7592,7994,7724,7191,7088,6624,6439,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.3806514631053,58.17314608477618]}"
4,6062,222,143,6712,6976,7892,8396,8091,7546,7388,6916,6843,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.37966331629278,58.17341557936141]}"
5,6310,217,166,6928,7216,7872,8286,7974,7455,7184,6793,6803,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.38083112616212,58.17368507394665]}"
6,6061,221,148,6476,6756,7692,8220,7951,7405,7196,6730,6849,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.38011247393484,58.173056253247765]}"
7,5912,215,161,6232,6576,7548,8077,7830,7232,7108,6609,6432,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.37993281087802,58.17278675866253]}"
8,5863,221,162,6924,7256,8012,8453,8144,7581,7388,6873,6737,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.3792141586507,58.17341557936141]}"
9,6061,213,165,6292,6608,7668,8226,7962,7452,7216,6754,6849,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.3797531478212,58.172876590190945]}"
10,7281,428,374,7936,8248,9152,9657,9585,9001,8704,8244,8384,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-157.0129801658789,57.14304794847632]}"
11,5898,214,154,6564,6948,7780,8250,7948,7444,7320,6813,6439,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.38047180004847,58.173325747833005]}"
12,5898,214,145,6500,6820,7596,8145,7871,7355,7116,6723,6439,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.38083112616212,58.17323591630459]}"
13,5909,230,165,7076,7328,8164,8763,8399,7900,7544,7233,6819,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.37705820196882,58.172876590190945]}"
14,5888,225,171,6332,6652,7728,8269,8004,7477,7348,6795,6576,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.37777685419613,58.17278675866253]}"
15,5888,212,158,6248,6632,7520,7887,7722,7190,7036,6576,6576,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.3775971911393,58.172607095605706]}"
16,5092,204,149,5412,5636,6488,6994,6848,6381,6180,5881,5915,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.3693326905254,58.184015699714024]}"
