system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8164,147,144,8240,8464,8760,9130,8517,7790,7328,7083,6980,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.0531498479892,48.35429053476457]}"
1,8113,144,124,8376,8608,8656,8867,8298,7577,7188,6859,6820,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05440748938697,48.3537515455941]}"
2,7929,142,131,8124,8304,8496,8825,8218,7487,7132,6903,6811,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05404816327332,48.353392219480455]}"
3,7929,143,113,8104,8288,8552,8876,8326,7591,7220,6933,6811,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05341934257444,48.353571882537274]}"
4,7914,141,129,8124,8336,8512,8793,8256,7536,7160,6910,6782,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05395833174491,48.35330238795204]}"
5,7892,149,128,7700,7896,8360,8752,8222,7518,7036,6854,6756,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05422782633015,48.35402104017933]}"
6,7929,143,113,8104,8304,8528,8876,8326,7591,7208,6933,6811,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05350917410286,48.35348205100887]}"
7,7892,142,123,8312,8504,8600,8833,8240,7554,7132,6880,6756,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05449732091539,48.35393120865093]}"
8,7929,145,126,8060,8328,8520,8919,8325,7621,7220,6978,6811,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05368883715968,48.3537515455941]}"
9,7929,145,126,8200,8440,8640,8919,8325,7621,7272,6978,6811,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05359900563127,48.35366171406569]}"
10,7929,142,131,8124,8304,8496,8825,8218,7487,7132,6903,6811,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05395833174491,48.353392219480455]}"
11,7852,147,126,8072,8288,8568,8812,8250,7552,7208,6940,6802,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05323967951762,48.353571882537274]}"
12,7895,150,135,8016,8264,8624,8915,8318,7630,7232,6942,6850,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05386850021651,48.354110871707746]}"
13,8164,160,148,8240,8496,8792,9155,8572,7871,7368,7173,6980,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05252102729033,48.35402104017933]}"
14,7914,141,129,8056,8264,8504,8873,8252,7600,7124,6897,6782,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05368883715968,48.35321255642363]}"
15,7929,145,126,8164,8392,8600,8919,8325,7621,7260,6978,6811,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05359900563127,48.353841377122514]}"
16,8164,163,148,8344,8544,8776,9084,8463,7802,7324,7080,6980,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05261085881874,48.35393120865093]}"
17,7929,143,113,8104,8304,8528,8876,8326,7591,7208,6933,6811,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05341934257444,48.35348205100887]}"
