system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,6427,290,240,7060,7484,9256,10276,9895,9181,8720,8451,8422,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.3775971911393,58.17251726407729]}"
1,6248,263,269,6960,7328,9448,10644,10265,9490,9128,8616,8742,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.37660904432676,58.17278675866253]}"
2,5447,276,261,6820,7196,9552,10833,10499,9755,9304,8818,7626,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.37660904432676,58.172876590190945]}"
3,5447,268,252,6812,7220,9656,10855,10329,9668,9264,8772,7626,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.37651921279834,58.172876590190945]}"
4,5447,300,259,6976,7344,9584,10971,10559,9732,9344,8954,7626,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.37705820196882,58.172876590190945]}"
5,6427,290,240,6952,7352,9328,10276,9895,9181,8968,8451,8422,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.3775971911393,58.172607095605706]}"
6,5447,276,261,6820,7196,9552,10833,10499,9755,9304,8818,7626,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.37669887585517,58.172876590190945]}"
7,5879,148,124,5868,6048,7276,7829,7473,6897,6700,6314,6302,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.35927155934326,58.18060210163437]}"
8,5981,163,123,6700,6876,7836,8335,7938,7312,7000,6614,6664,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.35981054851374,58.1800631124639]}"
9,5981,162,133,6292,6412,7656,8301,7940,7305,7016,6613,6664,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.36034953768421,58.1800631124639]}"
10,5718,166,143,6392,6544,7896,8469,8135,7488,7296,6823,6673,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.35936139087167,58.179524123293426]}"
11,5799,153,132,6288,6452,7628,8240,7822,7220,6828,6521,6563,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.3601698746274,58.18033260704913]}"
12,5981,167,137,6508,6720,7760,8281,7972,7364,6924,6687,6664,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.3595410539285,58.179973280935485]}"
13,5981,160,134,6444,6664,7704,8234,7906,7229,6896,6611,6664,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.3595410539285,58.1800631124639]}"
