"system:index","B1","B11","B12","B2","B3","B4","B5","B6","B7","B8","B8A","B9","class",".geo"
25,7806,146,148,9016,9496,9504,9476,8819,7998,8012,7320,6759,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-154.74123064386902,58.312295122286294]}"
26,6836,97,91,4984,5264,5484,5389,5072,4743,4600,4279,5423,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-154.7462612094601,58.30888152420664]}"
27,5742,127,125,6032,6308,6336,6963,6501,5788,5048,5266,5224,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-154.7289237244766,58.31292394298517]}"
28,6353,146,140,8008,8352,8416,8407,7932,7295,7044,6503,5646,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-154.73440344770972,58.311845964644235]}"
29,5097,129,119,6928,7208,7388,7021,6597,5749,6288,5078,4471,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-154.73242715408466,58.31409175285453]}"
30,5295,134,132,7060,7372,7472,7431,6946,6374,6012,5646,4900,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-154.73090001810166,58.31337310062724]}"
31,7514,127,111,7872,8248,8376,8393,7871,7134,7056,6474,6282,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-154.74500356806234,58.30986967101917]}"
32,5696,145,143,6148,6280,6292,6171,5774,5029,5440,4592,4731,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-154.7371882250905,58.31355276368406]}"
33,6849,155,141,8168,8640,8680,9130,8495,7416,7176,6861,6148,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-154.73673906744844,58.31211545922947]}"
34,6747,155,160,7428,7852,7956,7901,7354,6730,6644,6170,5995,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-154.8306130146389,58.29477797424596]}"
35,4944,154,151,5400,5704,6088,6204,5803,5260,4908,4789,3822,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-154.73386445853924,58.31355276368406]}"
36,6965,177,182,7828,8248,8480,8924,8430,7682,7164,7029,6255,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-154.73467294229496,58.313732426740884]}"
37,5978,165,161,6776,6932,7080,7024,6601,6113,6304,5703,5850,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-154.73664923592003,58.308971355735046]}"
38,7239,179,171,9168,9720,9824,10106,9479,8724,8512,7939,7513,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-154.74158996998267,58.31364259521247]}"
39,4944,146,134,5760,5820,6000,5724,5432,4704,5124,4189,3822,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-154.73404412159607,58.313462932155645]}"
40,4994,135,135,6644,6660,6712,6284,5929,5299,5864,4683,4176,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-154.73781704578937,58.31319343757041]}"
41,7656,194,197,8888,9384,9424,9926,9295,8456,7980,7773,7452,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-154.73530176299383,58.313912089797704]}"
42,5977,131,126,7348,7548,7668,6982,6568,5766,6356,5221,5346,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-154.7370983935621,58.309690007962345]}"
43,8781,168,169,8888,9432,9496,9847,9177,8390,8140,7643,7866,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-154.74158996998267,58.313013774513585]}"
44,6702,152,155,7240,7640,7724,8062,7584,6852,6512,6308,5995,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-154.73404412159607,58.31148663853058]}"
45,7832,130,124,8100,8416,8512,8578,8026,7319,7096,6526,6526,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-154.7446442419487,58.31067815477488]}"
46,5977,135,130,6288,6620,6920,7249,6684,5789,5540,5440,5346,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-154.73763738273254,58.30960017643393]}"
47,4944,123,131,5272,5516,5620,5172,4848,4413,4492,3896,3822,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-154.73377462701083,58.31319343757041]}"
48,5931,117,101,5780,6040,6060,6566,6200,5693,4960,5036,5108,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-154.73072035504484,58.311845964644235]}"
49,3702,432,348,5868,6056,6084,4410,4269,4002,5036,3416,3774,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-154.73521193146544,58.315169731195475]}"
