system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,3768,176,149,5216,5484,5928,5898,5670,5383,5313,5014,4191,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.69023378142214,57.922965278148894]}"
1,5045,147,131,5656,5912,6280,6540,6244,5811,5559,5351,5182,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.69077277059262,57.92242628897842]}"
2,3590,233,227,5744,5916,6152,5465,5144,4508,5361,4195,4402,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.69247956963244,57.92314494120571]}"
3,6124,135,107,6352,6572,6812,6780,6423,5985,5892,5505,5540,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.69310839033133,57.92134831063748]}"
4,6124,135,107,6056,6268,6564,6780,6423,5985,5760,5505,5540,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.69319822185975,57.92143814216589]}"
5,5104,144,117,6284,6512,6796,6716,6328,5884,5821,5448,5056,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.6921202435188,57.921797468279536]}"
6,6531,125,113,6764,6884,7000,7051,6685,6169,5992,5661,5673,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.69382704255864,57.92143814216589]}"
7,6531,133,123,7016,7144,7172,7336,6921,6342,6157,5834,5673,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.69391687408705,57.92161780522271]}"
8,4841,234,220,5416,5672,5692,5351,4974,4763,4936,4242,4535,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.69167108587675,57.922695783563654]}"
9,4840,237,196,5192,5480,5832,6133,5867,5600,5324,5224,5226,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.92918564699795,58.507588865053876]}"
10,3768,174,156,5328,5400,5724,5347,5114,4720,5108,4412,3801,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.69185074893358,57.92071948993859]}"
11,7202,137,118,6584,6788,6952,7194,6801,6357,6076,5880,6024,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.69328805338816,57.92125847910906]}"
12,4731,152,132,5152,5392,5832,6278,5978,5595,5198,5172,4973,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.69104226517786,57.92188729980795]}"
13,4841,150,137,6076,6264,6532,6656,6340,5937,5800,5478,4535,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.6914015912915,57.92242628897842]}"
14,7202,138,119,7284,7452,7476,7302,6875,6436,6332,5902,6024,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.6936473795018,57.92107881605224]}"
15,5807,136,129,6164,6420,6684,6862,6485,6058,5868,5604,5475,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.69176091740516,57.92215679439318]}"
16,6124,130,113,5928,6236,6488,6726,6363,5920,5746,5487,5540,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.6929287272745,57.92161780522271]}"
17,3590,236,209,5560,5724,5980,5867,5627,5237,5108,4752,4402,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.69238973810403,57.9230551096773]}"
18,5910,132,128,6924,7016,7032,7278,6892,6268,5991,5755,5542,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.69328805338816,57.92215679439318]}"
19,3768,176,149,5108,5336,5792,5898,5670,5383,5196,5014,4191,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.69005411836534,57.922965278148894]}"
20,5045,150,135,5888,6132,6500,6643,6263,5871,5704,5390,5182,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.69122192823468,57.922516120506835]}"
21,5059,153,131,6364,6524,6676,7172,6675,6292,5656,5634,4640,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.6928388957461,57.922516120506835]}"
22,6525,139,108,6984,7120,7192,7272,6832,6343,6108,5763,5835,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.69265923268927,57.92116864758065]}"
23,5045,150,131,5428,5712,6164,6385,6092,5675,5467,5293,5182,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.6906829390642,57.92287544662048]}"
24,4731,153,124,5488,5788,6132,6170,5896,5477,5425,5135,4973,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[160.69077277059262,57.92206696286477]}"
