system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,6992,187,173,7348,7536,7544,7748,7389,6918,6744,6372,6511,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.3414133823167,56.18499469796285]}"
1,7256,175,150,7580,7744,7840,7983,7589,7084,6704,6463,6559,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.33494551227102,56.18688116005951]}"
2,7169,161,134,7636,7792,7856,7954,7515,7057,6876,6416,6526,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.3333285447596,56.18283874128097]}"
3,7159,164,143,7580,7760,7808,7921,7525,7041,6852,6419,6530,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.3333285447596,56.184635371849204]}"
4,6929,193,173,7480,7748,7824,8003,7512,7015,6764,6426,6428,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.2912873894628,56.136755167205635]}"
5,7167,180,164,7660,7836,7872,7975,7607,7075,6880,6442,6545,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.3339573654585,56.18580318171856]}"
6,6105,215,171,6984,7276,7436,7681,7276,6830,6624,6289,6255,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.28940092736616,56.137473819432934]}"
7,7175,155,131,7612,7792,7808,7912,7483,6949,6660,6299,6409,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.32757932694125,56.18077261612749]}"
8,7805,226,214,8376,8568,8608,8720,8246,7622,7420,6950,6908,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.3422218660724,56.180862447655905]}"
9,6427,281,301,6900,7108,7232,7152,6828,6470,6408,5924,6006,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.35228299725452,56.18849812757092]}"
10,7313,167,121,7868,7960,8004,8158,7687,7168,6840,6550,6596,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.33404719698692,56.18050312154226]}"
11,6755,254,274,7148,7352,7440,7652,7293,6838,6592,6321,6311,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.35048636668628,56.19272020940628]}"
12,7013,204,174,7376,7564,7660,7853,7482,6998,6732,6396,6487,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.34051506703256,56.18625233936062]}"
13,6929,193,173,7404,7780,7804,8003,7512,7015,6756,6426,6428,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.29155688404805,56.13666533567722]}"
14,7212,162,142,7740,7872,7880,8045,7592,7124,6852,6454,6489,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.33153191419137,56.18247941516732]}"
15,6388,263,251,6924,7064,7160,7377,6982,6592,6424,6044,6079,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.35183383961248,56.18903711674139]}"
16,7198,150,129,7628,7796,7816,7930,7457,6939,6752,6353,6436,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.3272200008276,56.181042110712724]}"
17,6112,170,142,6336,6660,6680,6845,6422,6040,5788,5526,5827,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.28401103566145,56.13900095541593]}"
