system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7671,128,121,7992,8312,8336,8558,7984,7361,6988,6758,6775,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-160.00454972505372,55.94325805500629]}"
1,7216,140,132,7608,7928,8024,8297,7842,7274,6784,6643,6459,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.99664455055347,55.94424620181882]}"
2,7057,138,125,7372,7804,7836,8077,7656,7030,6640,6575,6450,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-160.00454972505372,55.94658182155753]}"
3,7239,141,124,7132,7552,7588,7921,7495,6926,6528,6399,6423,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.9990700018206,55.94523434863135]}"
4,6966,151,130,7416,7836,7840,8154,7666,7047,6668,6456,6536,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.99969882251946,55.94649199002912]}"
5,7887,127,116,8080,8368,8384,8692,8122,7444,7008,6763,6746,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-160.00562770339465,55.943437718063116]}"
6,7380,127,118,7724,8112,8184,8439,7938,7246,6828,6666,6615,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-160.0005971378036,55.94415637029041]}"
7,7380,130,110,7792,8140,8148,8451,7903,7256,6792,6683,6591,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-160.00338191518435,55.94478519098929]}"
8,6866,155,132,7912,8368,8392,8775,8175,7548,7220,6973,6955,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.99700387666712,55.94658182155753]}"
9,7064,134,126,7436,7724,7804,8210,7742,7118,6656,6581,6473,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.9952970776273,55.94469535946088]}"
10,7288,136,114,7484,7808,7836,8139,7691,7025,6664,6459,6425,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.99871067570695,55.944066538761994]}"
