name,year,ALGAL_RGND_GLACIERMASK_mean,ALGAL_RGND_GLACIERMASK_stdDev,ALGAL_RGND_GLACIERMASK_count,ALGAL_RGND_ALGAEMASK_mean,ALGAL_RGND_ALGAEMASK_stdDev,ALGAL_RGND_ALGAEMASK_count
alaskaRange,2019.0,1.5710574380839126E-4,0.0017329638837789263,2739309,0.0023146237480853953,0.006228168704835209,166757
coastNorth,2019.0,7.77469262224058E-5,0.0012723185800747401,11905580,0.004154327978488886,0.008386454552450974,194934
coastSouth,2019.0,3.428283002671804E-4,0.0025610088869132343,4257126,0.006562065104796031,0.009372248704588016,177668
interiorNorth,2019.0,0.001219864112010488,0.005198401630362138,145148,0.00708743737732144,0.010770633098385317,22650
interiorSouth,2019.0,0.0011962856534490675,0.005933981666859777,504925,0.010027350820708852,0.014690749927207087,53024
alaskaRange,2020.0,0.0014245374036639933,0.006094083461644267,2739309,0.02017604031662857,0.012829034725301223,166757
coastNorth,2020.0,2.46828439049417E-4,0.002447356269400464,11905580,0.012600979589219307,0.012711694052001201,194934
coastSouth,2020.0,2.813555820821609E-4,0.0024014535641481297,4257126,0.005978460612569943,0.0095685354844909,177668
interiorNorth,2020.0,9.841481509544482E-4,0.004040303619086539,145148,0.005796504263296401,0.008292909176962657,22650
interiorSouth,2020.0,0.00294481623211099,0.010594967013890118,504925,0.024585510723223382,0.02113986794062387,53024
alaskaRange,2021.0,2.8534415972193965E-4,0.002533626377231904,2739309,0.0041217497443266195,0.008828219045161763,166757
coastNorth,2021.0,1.2414337741367126E-4,0.0015117142047315118,11905580,0.00642488149762847,0.008940302218588549,194934
coastSouth,2021.0,1.4673402042498005E-4,0.0015956553355544409,4257126,0.003189659758089629,0.006789469815619308,177668
interiorNorth,2021.0,5.485748656965698E-4,0.0028065321825474806,145148,0.0032004119760715532,0.006139833769083167,22650
interiorSouth,2021.0,6.563735020661132E-4,0.004234240416271528,504925,0.005693651847909201,0.011314678290431403,53024
alaskaRange,2022.0,1.9147507244478477E-4,0.0022356697719757876,2739309,0.002657337013707511,0.00797147870210476,166757
coastNorth,2022.0,1.330245135914096E-4,0.0017228376564123666,11905580,0.007071632180396224,0.010546412030493774,194934
coastSouth,2022.0,7.268689729817128E-4,0.004620177508153596,4257126,0.01504165555127792,0.015769389290061057,177668
interiorNorth,2022.0,0.0038610791916371427,0.01074393632252296,145148,0.02176126094247167,0.016900812185775518,22650
interiorSouth,2022.0,0.0024801928092116816,0.008587785665325563,504925,0.019056511224010485,0.016417106159278393,53024
