name,date,ALGAL_RGND_mean,ALGAL_RGND_stdDev,ALGAL_RGND_count,ALGAL_RGND_ALGAEMASK_mean,ALGAL_RGND_ALGAEMASK_stdDev,ALGAL_RGND_ALGAEMASK_count
alaskaRange,2019-06-01,4.741740024473269E-6,1.3895965542470715E-4,164857,4.741740024473269E-6,1.3895965542470715E-4,164857
coastNorth,2019-06-01,5.494615319468446E-9,2.2862552271170052E-6,173132,5.494615319468446E-9,2.2862552271170052E-6,173132
coastSouth,2019-06-01,0.0,0.0,25203,0.0,0.0,25203
interiorNorth,2019-06-01,,,0,,,0
interiorSouth,2019-06-01,8.993677728529163E-7,9.389847084219096E-5,10928,8.993677728529163E-7,9.389847084219096E-5,10928
alaskaRange,2019-06-06,1.7907653952053267E-6,7.527327228745796E-5,249037,1.7907653952053267E-6,7.527327228745796E-5,249037
coastNorth,2019-06-06,2.5242679059126277E-6,1.505020907612613E-4,313257,2.5242679059126277E-6,1.505020907612613E-4,313257
coastSouth,2019-06-06,1.3778522188844856E-6,6.699518222639427E-5,13298,1.3778522188844856E-6,6.699518222639427E-5,13298
interiorNorth,2019-06-06,5.540978218301583E-6,7.634542760257954E-5,507,5.540978218301583E-6,7.634542760257954E-5,507
interiorSouth,2019-06-06,0.0,0.0,625,0.0,0.0,625
alaskaRange,2019-06-11,5.746172582992184E-5,5.992038672256079E-4,168338,5.746172582992184E-5,5.992038672256079E-4,168338
coastNorth,2019-06-11,7.787743596829067E-6,3.5375645170607656E-4,234214,7.787743596829067E-6,3.5375645170607656E-4,234214
coastSouth,2019-06-11,1.453952435331169E-5,3.0466054397360016E-4,97389,1.453952435331169E-5,3.0466054397360016E-4,97389
interiorNorth,2019-06-11,0.0,0.0,46,0.0,0.0,46
interiorSouth,2019-06-11,3.3904173928348184E-5,5.770440595804714E-4,54761,3.3904173928348184E-5,5.770440595804714E-4,54761
alaskaRange,2019-06-16,3.82573129817169E-6,1.5691857605854337E-4,53009,3.82573129817169E-6,1.5691857605854337E-4,53009
coastNorth,2019-06-16,9.146479009048096E-6,2.9665386740422686E-4,241953,9.146479009048096E-6,2.9665386740422686E-4,241953
coastSouth,2019-06-16,1.3958385803219286E-4,0.0012728187327312327,62098,1.3958385803219286E-4,0.0012728187327312327,62098
interiorNorth,2019-06-16,0.0,0.0,815,0.0,0.0,815
interiorSouth,2019-06-16,2.2053656433206583E-5,3.837225097685157E-4,30111,2.2053656433206583E-5,3.837225097685157E-4,30111
alaskaRange,2019-06-21,2.792737487449613E-5,5.21455539885773E-4,167306,2.792737487449613E-5,5.21455539885773E-4,167306
coastNorth,2019-06-21,2.9645839267487984E-5,5.453982783817443E-4,326169,2.9645839267487984E-5,5.453982783817443E-4,326169
coastSouth,2019-06-21,1.6387061336386967E-4,0.0014090643702904184,214392,1.6387061336386967E-4,0.0014090643702904184,214392
interiorNorth,2019-06-21,0.0,0.0,1376,0.0,0.0,1376
interiorSouth,2019-06-21,1.341485053491042E-4,8.309457412015131E-4,3243,1.341485053491042E-4,8.309457412015131E-4,3243
alaskaRange,2019-06-26,2.5059461919656705E-5,4.298658691667675E-4,281440,2.5059461919656705E-5,4.298658691667675E-4,281440
coastNorth,2019-06-26,1.0339520241263926E-4,0.0011620661099714733,327218,1.0339520241263926E-4,0.0011620661099714733,327218
coastSouth,2019-06-26,3.5309089503367095E-4,0.002107233210987432,128658,3.5309089503367095E-4,0.002107233210987432,128658
interiorNorth,2019-06-26,6.927814974046465E-4,0.003892534999473919,2680,6.927814974046465E-4,0.003892534999473919,2680
interiorSouth,2019-06-26,7.951017981008739E-4,0.0035954466835868646,6587,7.951017981008739E-4,0.0035954466835868646,6587
